"Fips","Area","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"01","Alabama",283,302,258,226,252,307,293,356,418,651,532,621,683,541,710,801,542,866,840,673,894,864,832,907,1068,1255,1162,1385,1269,1261,1417,1117,1408,1371
"02","Alaska",2,2,3,2,3,2,3,3,5,3,4,5,5,6,7,6,7,6,9,11,13,13,17,18,18,15,17,16,16,17,21,19,23,25
"04","Arizona",197,214,175,203,245,257,231,266,290,383,548,388,514,513,577,734,743,799,660,481,765,767,727,899,992,993,987,1003,969,1008,901,1139,1172,1149
"05","Arkansas",439,408,450,363,417,445,514,511,625,1068,1127,1099,955,1015,1535,1461,892,1464,1220,825,1385,1254,1187,1261,1622,1578,1484,1536,1794,1504,2078,1833,2576,2364
"06","California",1864,1866,2009,1901,2206,2213,2228,2293,2877,4006,4626,4460,4560,4973,5277,6963,7256,7255,7433,6093,7825,8033,8134,9438,9426,10217,10938,9502,10889,11230,12342,11017,13172,13973
"08","Colorado",213,271,281,281,332,361,407,447,492,720,808,790,657,627,622,790,876,1000,854,857,1047,1046,930,882,996,1217,1534,1131,1248,1299,1169,1081,1373,1375
"09","Connecticut",77,87,93,79,88,90,95,95,98,116,117,116,123,110,119,125,123,139,161,145,191,197,213,209,218,222,269,231,275,274,280,225,239,233
"10","Delaware",33,43,36,43,39,61,44,48,60,114,100,116,106,76,87,90,46,85,122,117,151,169,203,173,234,273,219,197,182,167,204,154,202,173
"12","Florida",602,590,605,643,714,804,743,867,1038,1313,1279,1508,1471,1540,2019,2285,2283,2404,2638,2632,2850,3014,3081,3412,3778,4036,3443,3680,3997,3681,3709,3267,3852,3857
"13","Georgia",374,426,415,424,396,476,476,563,594,976,954,964,961,676,948,1114,640,1211,1426,1130,1640,1451,1434,1410,1620,1907,1824,2048,2121,1875,2533,2278,2739,2550
"15","Hawaii",111,119,126,119,125,122,129,133,145,170,195,241,185,181,202,250,382,261,289,312,312,302,347,340,335,340,366,303,297,273,281,249,277,284
"16","Idaho",208,300,260,281,268,342,362,363,447,669,834,675,649,572,689,728,896,1036,960,956,1018,969,860,952,1040,1391,1496,1234,1343,1488,1281,1294,1543,1323
"17","Illinois",917,1161,1300,1336,1142,1371,1252,1432,1553,2593,2590,3367,2817,2947,3026,3636,2486,3803,3011,1290,2877,3199,2504,2005,1496,3229,3084,2310,3178,2503,3528,1860,3885,3483
"18","Indiana",495,717,703,712,665,828,718,959,879,1716,1331,1741,1806,1476,1625,1826,1592,1760,1698,767,1872,1762,1448,1349,884,1778,1791,1162,1715,1577,1788,1207,2225,2129
"19","Iowa",1043,1371,1522,1410,1323,1592,1647,1530,1921,3351,2678,2956,2516,2747,3916,3828,3227,4488,3455,1980,3553,3559,3379,2871,2299,3647,3878,3328,4205,1990,4325,3186,5675,5043
"20","Kansas",422,504,542,514,511,615,754,876,1151,1848,1589,1465,1304,1225,1123,1916,1237,1752,1798,1272,1790,1878,1605,1704,1763,1783,2257,1878,2550,2109,2677,1829,2833,2645
