"Annual decline in unionization" "Annual change in productivity"
"Alabama" 0.305 1.57478248059924
"Arizona" 0.236666666666667 1.34471138438305
"Arkansas" 0.271666666666667 1.57404679640018
"California" 0.31 1.72243410351301
"Colorado" 0.3025 1.54970161908319
"Connecticut" 0.2275 2.40438463929817
"Delaware" 0.1975 1.60177966669189
"Florida" 0.2025 1.11944296890127
"Georgia" 0.231666666666667 2.04902857579313
"Hawaii" 0.0933333333333333 0.789608659920032
"Idaho" 0.418333333333333 1.57418918622856
"Illinois" 0.415 1.45432977838749
"Indiana" 0.705 1.37586217750897
"Iowa" 0.365 1.66746028758977
"Kansas" 0.3075 0.976801637376107
"Kentucky" 0.404166666666667 1.08858834904925
"Maine" 0.225833333333333 1.02919894243758
"Maryland" 0.309166666666667 1.45123090889223
"Massachusetts" 0.233333333333333 2.41198409974221
"Michigan" 0.561666666666667 0.457642418957857
"Minnesota" 0.39 1.46586949986697
"Mississippi" 0.2525 1.65929984175293
"Missouri" 0.3725 1.08241511399899
"Montana" 0.465 -0.08478298211033
"Nebraska" 0.299166666666667 1.38780487668135
"Nevada" 0.419166666666667 0.360347675641692
"New Hampshire" 0.255833333333333 2.67179965780147
"New Jersey" 0.4375 1.72580290828927
"New Mexico" 0.1675 1.07576902254857
"New York" 0.206666666666667 1.65741445191555
"North Carolina" 0.134166666666667 1.902297634927
"Ohio" 0.570833333333333 0.947888303815776
"Oklahoma" 0.271666666666667 0.935437298358549
"Oregon" 0.438333333333333 1.8144257303756
"Pennsylvania" 0.530833333333333 1.17137201314277
"Rhode Island" 0.168333333333333 1.78046657490926
"South Carolina" 0.110833333333333 2.02469229200535
"South Dakota" 0.295833333333333 1.93795841626408
"Tennessee" 0.450833333333333 1.88356339885988
"Texas" 0.211666666666667 1.15100979897776
"Utah" 0.505 0.937816249049123
"Vermont" 0.1325 1.25192817276899
"Virginia" 0.296666666666667 1.83143621944956
"Washington" 0.51 0.817087572085353
"West Virginia" 0.509166666666667 0.821027997995375
"Wisconsin" 0.423333333333333 1.40450558198583
