State	1976	1977	1978	int	slope	pvalue
Alabama	1.157	1.158	1.182	1.140	0.013	0.303
Arizona	1.167	1.198	1.210	1.148	0.022	0.153
Arkansas	1.260	1.254	1.229	1.278	-0.015	0.227
California	1.101	1.117	1.131	1.087	0.015	0.013
Colorado	1.168	1.153	1.149	1.176	-0.010	0.211
Connecticut	1.067	1.074	1.086	1.056	0.010	0.071
Delaware	1.027	1.048	1.057	1.014	0.015	0.136
Florida	1.177	1.196	1.237	1.144	0.030	0.131
Georgia	1.136	1.147	1.171	1.116	0.018	0.143
Hawaii	1.067	1.082	1.083	1.061	0.008	0.274
Idaho	1.209	1.217	1.200	1.218	-0.004	0.661
Illinois	1.065	1.074	1.084	1.055	0.010	0.021
Indiana	1.129	1.126	1.131	1.126	0.001	0.716
Iowa	1.238	1.246	1.251	1.233	0.006	0.066
Kansas	1.234	1.235	1.240	1.230	0.003	0.230
Kentucky	1.273	1.261	1.231	1.297	-0.021	0.156
Maine	1.162	1.139	1.138	1.170	-0.012	0.319
Maryland	1.193	1.212	1.223	1.179	0.015	0.083
Massachusetts	1.062	1.061	1.059	1.064	-0.002	0.034
Michigan	1.011	1.105	1.116	0.972	0.052	0.272
Minnesota	1.150	1.139	1.133	1.158	-0.009	0.081
Mississippi	1.242	1.213	1.192	1.266	-0.025	0.055
Missouri	1.109	1.123	1.138	1.095	0.014	0.023
Montana	1.248	1.222	1.231	1.251	-0.009	0.541
Nebraska	1.205	1.221	1.235	1.190	0.015	0.037
Nevada	1.069	1.067	1.054	1.078	-0.007	0.254
New Hampshire	1.185	1.177	1.161	1.198	-0.012	0.138
New Jersey	1.075	1.078	1.094	1.064	0.010	0.239
New Mexico	1.136	1.134	1.120	1.145	-0.008	0.283
New York	1.018	1.028	1.042	1.006	0.012	0.060
North Carolina	1.183	1.189	1.203	1.172	0.010	0.168
Ohio	1.076	1.070	1.076	1.074	0.000	0.988
Oklahoma	1.206	1.203	1.199	1.210	-0.004	0.008
Oregon	1.132	1.146	1.151	1.123	0.010	0.174
Pennsylvania	1.046	1.056	1.070	1.034	0.012	0.061
Rhode Island	1.106	1.090	1.076	1.120	-0.015	0.030
South Carolina	1.150	1.132	1.129	1.158	-0.011	0.227
South Dakota	1.361	1.350	1.356	1.361	-0.003	0.702
Tennessee	1.108	1.115	1.106	1.112	-0.001	0.860
Texas	1.148	1.158	1.166	1.139	0.009	0.048
Utah	1.072	1.066	1.040	1.091	-0.016	0.219
Vermont	1.189	1.205	1.232	1.165	0.022	0.092
Virginia	1.193	1.187	1.182	1.199	-0.006	0.055
Washington	1.164	1.158	1.167	1.160	0.001	0.817
West Virginia	1.085	1.108	1.162	1.041	0.039	0.143
Wisconsin	1.173	1.167	1.154	1.184	-0.010	0.153
