"unique.dat.state..union.diff.order.","union.diff.union.diff.order."
"Indiana",-29.9
"Michigan",-28.2
"Washington",-24.7
"Montana",-24.3
"Ohio",-23.9
"Pennsylvania",-22.9
"Oregon",-22.4
"New Jersey",-22.3
"West Virginia",-21.7
"Minnesota",-21.1
"Illinois",-20
"Wisconsin",-19.7
"Nevada",-18.3
"Tennessee",-17.4
"Idaho",-17.4
"Utah",-17.2
"Missouri",-17.1
"Iowa",-16.2
"Kentucky",-16
"California",-15.2
"Colorado",-14.6
"Kansas",-14.4
"New Hampshire",-14.1
"Nebraska",-13.6
"Massachusetts",-13.2
"Maryland",-13.1
"Connecticut",-12.1
"Maine",-12.1
"Arizona",-11.2
"New York",-11.2
"Virginia",-11.1
"Alabama",-10.9
"Arkansas",-10.9
"Mississippi",-10.9
"Oklahoma",-10.3
"Rhode Island",-9.6
"Delaware",-9.4
"Florida",-8.4
"South Dakota",-8.4
"Texas",-8
"Georgia",-7.9
"New Mexico",-6.7
"Vermont",-6.5
"North Carolina",-5.2
"South Carolina",-2.3
"Hawaii",0.100000000000001
