"unique.dat.state..pct.union.decline.order.","pct.union.diff.pct.union.decline.order."
"Tennessee",-0.787330316742082
"Indiana",-0.731051344743276
"Arkansas",-0.726666666666667
"Utah",-0.722689075630252
"Mississippi",-0.707792207792208
"Virginia",-0.70253164556962
"Idaho",-0.701612903225806
"Colorado",-0.688679245283019
"Kansas",-0.676056338028169
"Georgia",-0.663865546218487
"Oklahoma",-0.651898734177215
"Montana",-0.649732620320856
"Kentucky",-0.64
"Arizona",-0.636363636363636
"Ohio",-0.63563829787234
"Missouri",-0.6309963099631
"Michigan",-0.629464285714286
"North Carolina",-0.619047619047619
"Pennsylvania",-0.607427055702918
"Florida",-0.6
"South Dakota",-0.595744680851064
"West Virginia",-0.594520547945205
"Texas",-0.592592592592593
"Nebraska",-0.591304347826087
"Iowa",-0.584837545126354
"New Hampshire",-0.580246913580247
"Wisconsin",-0.579411764705882
"Oregon",-0.575835475578406
"Minnesota",-0.57027027027027
"New Jersey",-0.565989847715736
"Illinois",-0.561797752808989
"Washington",-0.555056179775281
"Nevada",-0.549549549549549
"Maryland",-0.530364372469636
"Alabama",-0.516587677725119
"Delaware",-0.510869565217391
"Maine",-0.508403361344538
"Massachusetts",-0.476534296028881
"New Mexico",-0.475177304964539
"California",-0.460606060606061
"Connecticut",-0.420138888888889
"Rhode Island",-0.369230769230769
"Vermont",-0.351351351351351
"South Carolina",-0.328571428571429
"New York",-0.315492957746479
"Hawaii",0.00460829493087564
