"","V1","V2"
"1","TN","-78.7330316742081"
"2","IN","-73.1051344743276"
"3","AR","-72.6666666666667"
"4","UT","-72.2689075630252"
"5","MS","-70.7792207792208"
"6","VA","-70.253164556962"
"7","ID","-70.1612903225806"
"8","CO","-68.8679245283019"
"9","KS","-67.6056338028169"
"10","GA","-66.3865546218487"
"11","OK","-65.1898734177215"
"12","MT","-64.9732620320856"
"13","KY","-64"
"14","AZ","-63.6363636363636"
"15","OH","-63.563829787234"
"16","MO","-63.09963099631"
"17","MI","-62.9464285714286"
"18","NC","-61.9047619047619"
"19","PA","-60.7427055702918"
"20","FL","-60"
"21","SD","-59.5744680851064"
"22","WV","-59.4520547945205"
"23","TX","-59.2592592592593"
"24","NE","-59.1304347826087"
"25","IA","-58.4837545126354"
"26","NH","-58.0246913580247"
"27","WI","-57.9411764705882"
"28","OR","-57.5835475578406"
"29","MN","-57.027027027027"
"30","NJ","-56.5989847715736"
"31","IL","-56.1797752808989"
"32","WA","-55.5056179775281"
"33","NV","-54.9549549549549"
"34","MD","-53.0364372469636"
"35","AL","-51.6587677725119"
"36","DE","-51.0869565217391"
"37","ME","-50.8403361344538"
"38","MA","-47.6534296028881"
"39","NM","-47.5177304964539"
"40","CA","-46.0606060606061"
"41","CT","-42.0138888888889"
"42","RI","-36.9230769230769"
"43","VT","-35.1351351351351"
"44","SC","-32.8571428571429"
"45","NY","-31.5492957746479"
"46","HI","0.460829493087564"
