"restaurant" "phone" "street" "city" "state" "zip" "menu" "category" "item" "price" "low" "high"
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Amaya Continental Buffet" "11" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Huevos Rancheros" "8" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Light And Healthy Good Morning" "8" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Breakfast Burrito" "8" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Two Eggs Any Style With Potatoes And Toast" "6" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Three Egg Omelet" "9" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Breakfast Quesadilla" "8" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "House Made Waffles" "7" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Blue Corn Blueberry Pancakes" "8" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Buttermilk Pancakes" "7" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Cinnamon Roll French Toast" "8" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Juice, Milk, Coffee, Tea" "3" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Bagel And Cream Cheese" "3" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Fresh Baked Pastry" "3" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Breakfast Meats" "4" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Side Of Potatoes" "3" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Cold Cereal, Granola, Oatmeal" "4" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Toast" "3" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Yogurt" "3" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Side Of Salsa" "3" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "Side Of Mix Fruit" "3" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "menu" "Menu" "One Egg" "3" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "South Western Vegetarian Tortilla Soup" NA "7" "8"
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Green Chile And Roasted Corn Chowder" NA "7" "8"
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Picuris Chicken Salad" "12" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Cobb Salad" "14" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Grilled Shrimp And Fresh Pineapple Kabob" "13" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Amaya Club" "12" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Amaya Burger" NA "11" "13"
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Grilled Eggplant, Yellow Squash And Portabella Mushroom Sandwich" "13" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Fish And Chips" "12" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Blue Corn Dusted Trout" "15" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Chicken Pot Pie" "12" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "lunch" "Lunch" "Stacked Green Chile Cheese Chicken Enchiladas" "13" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Appetizers" "Green Chile And Roasted Corn Chowder" "8" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Appetizers" "Southwestern Vegetarian Tortilla Soup" "8" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Appetizers" "Cascabel And Pomegranate Glazed Shrimp" "13" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Appetizers" "Cranberry And Pear Salad" "9" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Appetizers" "Roasted Beet And Candied Pecan Salad" "8" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Entrees" "Apple-Mint Glazed Pork Tenderloin" "23" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Entrees" "White Cornmeal And Red Chile Dusted Trout" "22" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Entrees" "Black Pepper Crusted Beef Tenderloin" "28" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Entrees" "Pablano Chile And Sun-Dried Tomato Stuffed Chicken Breast" "22" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Entrees" "Slow Seared Maple Leaf Duck Breast" "28" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Entrees" "Prosciutto Wrapped Venison Loin" "30" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Entrees" "Oaxacan Red Chicken Enchiladas" "20" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Entrees" "Vegetable Stuffed Poblano Chile Medallions" "18" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Desserts" "Amaya Chocolate Decadence" "7" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Desserts" "Wild Berry Bread Pudding A La Mode" "7" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Desserts" "Almond And Apple Cake" "7" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Desserts" "Lemon Custard Tart Brulee" "7" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Desserts" "Chefs Choice Sorbet Or Vanilla Ice Cream" "7" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Bar Menu" "Chips And Salsa" "7" NA NA
"Amaya" "505-982-1200" "1501 Paseo De Peralta" "Santa Fe" "NM" "87501" "dinner" "Bar Menu" "Chips And Salsa With Guacamole" "10" NA NA
