"restaurant" "phone" "street" "city" "state" "zip" "menu" "category" "item" "price" "low" "high"
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "TOP SIRLOIN" "10.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "T-BONE LOVERS" "13.49" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "PRIME RIB" NA "11.99" "14.99"
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "GARROWS POT ROAST" "9.29" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "CHICKEN FRIED STEAK" "9.29" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "STEAK & GRILLED SHRIMP" "13.29" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "STEAK & SHRIMP SCAMPL PASTA" "12.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "NEW! STEAK & FRIED SHRIMP" "12.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "SLOW ROASTED TRI-TIP" "8.69" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "HEARTY STEAKS & MORE" "NEW LOADED MEATLOAF STACK" "9.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "SOUTHWEST CHICKEN SALAD" "8.49" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "SOUTHWEST CHICKEN SALAD" "6.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "SOUTHERN FRIED CHICKEN SALAD" "8.29" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "ASIAN CHICKEN SALAD" "7.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "ASIAN CHICKEN SALAD" "6.49" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "SOUTHERN-FRIED CHICKEN SALAD" "6.79" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "COBB SALAD" "8.49" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "COBB SALAD" "6.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "COBB SALAD" "6.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "CHICKEN CAESAR SALAD" "7.69" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "CHICKEN CAESAR SALAD" "6.19" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "FRESH SALADS" "SOUP & SALAD COMBO" "5.49" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "MILE HIGH" "CLUBHOUSE CLASSIC" "7.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "MILE HIGH" "ROAST BEEF MELT" "8.29" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "MILE HIGH" "NEW BLT" "7.29" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "MILE HIGH" "ULTIMATE BACON & GRILLED CHEESE" "7.29" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "MILE HIGH" "PERFECT SANDWICH PLATE" "5.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "MILE HIGH" "TURKEY STACK" "7.89" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "MILE HIGH" "NEW CHICKEN TERIYAKI" "7.89" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "OMELETTES" "DENVER OMELETTE" "7.89" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "OMELETTES" "HAM-N-CHEESE OMELETTE" "7.79" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "OMELETTES" "CALIFORNIA OMLETTE" "7.99" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "OMELETTES" "NEW FARMHOUSE OMELETTE" "8.39" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "OMELETTES" "SPANISH OMELETTE" "7.89" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "OMELETTES" "CARROWS JOES SPECIAL OMELETTE" "8.39" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "OMELETTES" "NEW VEGETABLE OMLELTTE" "7.89" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "EGGS & MORE" "CHICKEN FRIED STEAK & EGGS" "8.69" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "EGGS & MORE" "NEW BACON & ONION POTATO PANCAKES" "7.29" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "EGGS & MORE" "NEW BACON & ONION POTATO PANCAKES" "5.69" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "EGGS & MORE" "YOUR CHOICE BREAKFAST" "6.79" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "EGGS & MORE" "CORNED BEEF HASH & EGGS" "7.19" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "EGGS & MORE" "STEAK & EGGS" "9.69" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "EGGS & MORE" "EGGS BENEDICT" "7.79" NA NA
"Carrows" "505-268-4270" "600 San Mateo Blvd NE" "Albuquerque" "NM" "87108" "menu" "THE GREAT BIG" "NEW! BIG SOUTHERN BREAKFAST" "7.79" NA NA
