"restaurant" "phone" "street" "city" "state" "zip" "menu" "category" "item" "price" "low" "high"
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "Two Egg Breakfast" "5.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "One Egg Breakfast" "4.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "Ham & Cheese Omelet" "6.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "Veggie Omelet" "6.79" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "66 Diner Omelet" "6.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "Huevos Rancheros" "5.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "Breakfast Burrito" "5.49" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "French Toast Breakfast" "5.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "Biscuits & Gravy" "6.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "Oatmeal" "3.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Meals" "66 Diner Pancakes" NA "2.99" "3.99"
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Pile Up" "Pile Up" "8.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Pile Up" "1/2 Pile Up" "4.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Pile Up" "Eggsadilla" "6.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Pile Up" "Chicken Fried Steak" "11.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Sides" "Toast, Biscuit" "1.29" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Sides" "Biscuit With Gravy" "1.79" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Sides" "French Toast" "2.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Sides" "One Egg" "0.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Sides" "Ham, Bacon Or Sausage" "1.99" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Sides" "Pan Fries" "1.29" NA NA
"66 Diner" "505-247-1421" "1405 Central Ave NE" "Albuquerque" "NM" "87106" "menu" "Sides" "Hash Browns" "1.29" NA NA
